Year Mnth Day Hr dayl(s) prcp(mm/day) srad(W/m2) tmax(C) tmin(C) vp(Pa),, prcp(mm/day) ,srad(W/m2), tmax(C) ,tmin(C) ,vp(Pa),Runoff (t-1),FFNN-Runoff(t-1),,,Runoff (t)
1994 06 11 12,51148.8,4.81,255.37,29.65,19.53,2277.76,21,21,,,18
1994 06 12 12,51148.8,0,359.46,30.12,19.46,2249.58,18,18,,,27
1994 06 13 12,51154.41,2.05,391.81,31.84,18.76,2057.16,27,27,,,29
1994 06 14 12,51174.22,1.96,392.51,32.91,19.29,2163.91,29,29,,,21
1994 06 15 12,51209.12,0.04,402.67,32.42,20,2244.76,21,21,,,21
1994 06 16 12,51263.11,7.26,362.97,32.67,19.56,2235.48,21,21,,,18
1994 06 17 12,51328.23,0,426.48,32.6,19.48,2167.46,18,18,,,13
1994 06 18 12,51328.23,1.95,361.02,31.99,19.42,2209.98,13,13,,,14
1994 06 19 12,51393.96,5.98,338.48,32.07,18.01,2080.91,14,14,,,18
1994 06 20 12,51393.96,0,454.31,33.43,19,2081.16,18,18,,,21
1994 06 21 12,51393.96,0,461.9,34.57,19.56,2133.03,21,21,,,18
1994 06 22 12,51393.96,0,450.48,35.1,20.57,2286.24,18,18,,,11
1994 06 23 12,51393.96,0.15,445.6,35.46,21,2346.84,11,11,,,8
1994 06 24 12,51328.23,0,405.6,33.75,21.73,2377.19,8,8,,,5.9
1994 06 25 12,51328.23,9.31,287.57,31.84,20.85,2453.09,5.9,5.9,,,4.9
1994 06 26 12,51263.11,0,405.12,30.35,19,2072.7,4.9,4.9,,,3.9
1994 06 27 12,51209.12,61.69,314.62,30.88,18.83,2170.42,3.9,3.9,,,5250
1994 06 28 12,51174.22,61.3,292.62,29.06,18.45,2121.96,5250,5250,,,14200
1994 06 29 12,51154.41,46.56,337.08,31.68,18.5,2120.05,14200,14200,,,8790
1994 06 30 12,51148.8,7.99,324.02,31.02,18.73,2156.42,8790,8790,,,8450
1994 07 01 12,51148.8,0,444.07,32.03,19,2200,8450,8450,,,1140
1994 07 02 12,51148.8,0,439.38,32.65,19.73,2298.94,1140,1140,,,382
1994 07 03 12,51148.8,0,432.68,32.89,20.29,2367.06,382,382,,,272
1994 07 04 12,51148.8,6.79,287.58,30.88,20.5,2400.73,272,272,,,256
1994 07 05 12,51148.8,5.03,222.56,28.91,21.42,2547.86,256,256,,,233
1994 07 06 12,51148.8,21.17,238.99,28.99,20.97,2475.75,233,233,,,349
1994 07 07 12,51048.39,0,428.37,31.65,19.68,2293.46,349,349,,,274
1994 07 08 12,50917.51,2.17,361.53,32.23,19.99,2323.8,274,274,,,187
1994 07 09 12,50808.79,0,433.62,32.76,20.26,2360.84,187,187,,,143
1994 07 10 12,50803.17,1.06,418.28,33.16,20.03,2324.9,143,143,,,117
1994 07 11 12,50803.17,0,422.07,32.67,20.45,2391.39,117,117,,,103
1994 07 12 12,50803.17,3.27,376.8,32.46,20.9,2463.23,103,103,,,89
1994 07 13 12,50803.17,0,416.72,32.47,20.49,2397.69,89,89,,,89
1994 07 14 12,50702.79,7.56,299.71,31.73,20.57,2411.58,89,89,,,101
1994 07 15 12,50483.03,0,386.55,32.07,21.33,2533.17,101,101,,,88
1994 07 16 12,50457.61,0,398.77,32.43,21.23,2517.45,88,88,,,73
1994 07 17 12,50457.61,0,430.33,33.41,20.82,2451.34,73,73,,,62
1994 07 18 12,50457.61,0,433.26,33.35,20.65,2423.65,62,62,,,50
1994 07 19 12,50422.38,9.54,330.71,33.23,20.64,2421.65,50,50,,,41
1994 07 20 12,50137.41,5.8,290.23,31.01,20.59,2414.14,41,41,,,47
1994 07 21 12,50111.99,6.92,317.61,31.56,19.83,2306.69,47,47,,,58
1994 07 22 12,50111.99,8.32,324.36,32.37,20.17,2347.69,58,58,,,55
1994 07 23 12,50111.99,29.14,291.92,30.57,20.35,2376.72,55,55,,,766
1994 07 24 12,49945.82,0,401.48,30.9,20.25,2360.46,766,766,,,357
1994 07 25 12,49766.41,0,425.61,32.87,20.91,2465.05,357,357,,,188
1994 07 26 12,49766.41,0.56,422.95,32.77,20.78,2444.83,188,188,,,117
1994 07 27 12,49766.41,0.03,369.03,30.74,21.13,2501.14,117,117,,,122
1994 07 28 12,49600.27,34.01,269.71,29.29,20.23,2357.86,122,122,,,744
1994 07 29 12,49420.81,3.18,325.98,29.74,19.52,2272.03,744,744,,,472
1994 07 30 12,49420.81,0,452.11,30.96,18.47,2117.71,472,472,,,267
1994 07 31 12,49420.81,0,434.62,30.8,19.06,2208.94,267,267,,,157
1994 08 01 12,49135.52,3.75,322.51,30.09,20.32,2370.52,157,157,,,114
1994 08 02 12,49075.19,6.69,341.04,30.08,19.51,2279.65,114,114,,,128
1994 08 03 12,49075.19,0,436.07,32.05,20.02,2324.23,128,128,,,159
1994 08 04 12,49039.95,19.87,320.6,32.35,20.45,2392.28,159,159,,,186
1994 08 05 12,48729.61,0,393.61,31.62,21.02,2483.65,186,186,,,292
1994 08 06 12,48729.61,8.72,324.58,30.99,19.33,2253.28,292,292,,,174
1994 08 07 12,48729.61,0,390.11,27.93,18.1,2087.95,174,174,,,114
1994 08 08 12,48409.41,0,456.02,28.89,16.51,1872.33,114,114,,,89
1994 08 09 12,48383.99,0,479.74,29.94,16.22,1838.87,89,89,,,74
1994 08 10 12,48383.99,0,478.92,31.57,17.4,1987.07,74,74,,,63
1994 08 11 12,48152.71,0,473.97,32.6,18.27,2101.15,63,63,,,54
1994 08 12 12,48038.4,0,440.58,32.09,19.41,2258.81,54,54,,,48
1994 08 13 12,48038.4,0,425.62,33.11,20.74,2438.27,48,48,,,42
1994 08 14 12,47872.24,7.24,300.51,32.26,21,2480,42,42,,,42
1994 08 15 12,47692.81,0.01,380.25,31.87,21.41,2545.16,42,42,,,59
1994 08 16 12,47692.81,32.7,230.02,27.95,20.34,2374.48,59,59,,,391
1994 08 17 12,47592.43,57.24,175.07,25.71,20.24,2359.52,391,391,,,4080
1994 08 18 12,47347.21,0,366.64,30.78,21.23,2516.29,4080,4080,,,1640
1994 08 19 12,47347.21,13.33,290.28,28.96,19.24,2237.68,1640,1640,,,632
1994 08 20 12,47246.78,0,397.91,30.2,19.7,2295.84,632,632,,,387
1994 08 21 12,47001.61,0,399.5,30.92,20.23,2358.15,387,387,,,580
1994 08 22 12,47001.61,30.38,290.61,29.59,19.52,2272.49,580,580,,,1760
1994 08 23 12,46770.35,0,443.69,29.77,17.49,1998.24,1760,1760,,,595
1994 08 24 12,46656,0,445.75,29.91,17.45,1991.5,595,595,,,287
1994 08 25 12,46656,0,480.09,29.86,15.6,1768.09,287,287,,,193
1994 08 26 12,46316.02,0,478.1,29.95,15.58,1766.1,193,193,,,146
1994 08 27 12,46310.4,0,470.6,31.22,16.68,1892.8,146,146,,,118
1994 08 28 12,46310.4,0,452.84,31.8,17.89,2062.38,118,118,,,100
1994 08 29 12,45964.79,0,445.87,32.43,18.59,2133.96,100,100,,,86
1994 08 30 12,45964.79,0,433.82,33.02,19.5,2280,86,86,,,76
1994 08 31 12,45964.79,0,418.07,32.92,20.02,2323.82,76,76,,,68
1994 09 01 12,45619.18,0,416.79,33.62,20.46,2394.1,68,68,,,63
1994 09 02 12,45619.18,0,417.14,33.12,20,2320.18,63,63,,,57
1994 09 03 12,45616.5,20.27,205.74,23.93,17.04,1930.09,57,57,,,157
1994 09 04 12,45273.6,3.65,284.15,22.2,12.87,1470.39,157,157,,,235
1994 09 05 12,45273.6,0,443.04,25.89,13.04,1487.66,235,235,,,139
1994 09 06 12,44927.99,0.08,430.12,26.69,14.14,1610.98,139,139,,,93
1994 09 07 12,44927.99,1.39,320.64,26.6,17.5,2000,93,93,,,74
1994 09 08 12,44927.99,0,414.47,29.83,17.36,1977.27,74,74,,,66
1994 09 09 12,44582.39,0,376.52,28.7,18,2079.73,66,66,,,63
1994 09 10 12,44582.39,0,405.33,29.38,17.41,1985.26,63,63,,,58
1994 09 11 12,44582.39,2.37,407.48,30.44,16.95,1916,58,58,,,209
1994 09 12 12,44236.83,0,438.63,30.58,16.5,1880,209,209,,,106
1994 09 13 12,44236.83,0,451.27,30.52,15.5,1760,106,106,,,67
1994 09 14 12,43891.2,0,453.95,30.85,15.31,1744.54,67,67,,,53
1994 09 15 12,43891.2,0,448.29,31.04,15.44,1755.07,53,53,,,45
1994 09 16 12,43891.2,0,434.96,31.24,16.02,1804.26,45,45,,,41
1994 09 17 12,43545.6,2.93,305.6,30.5,18.47,2124.68,41,41,,,37
1994 09 18 12,43545.6,10.17,236.63,29.88,20.05,2327.42,37,37,,,148
1994 09 19 12,43545.6,39.04,238.88,24.76,15.46,1756.73,148,148,,,941
1994 09 20 12,43199.98,0,431.79,25.35,11.01,1320.48,941,941,,,340
1994 09 21 12,43199.98,0,407.35,25.51,12.23,1418.15,340,340,,,152
1994 09 22 12,42854.39,0,399.21,25.8,12.74,1460.02,152,152,,,101
1994 09 23 12,42854.39,0,409.6,26.22,12.44,1435.11,101,101,,,79
1994 09 24 12,42854.39,0.77,352.07,26.77,14.63,1665.34,79,79,,,67
1994 09 25 12,42508.8,0.62,320.34,28.98,18.5,2120.19,67,67,,,60
1994 09 26 12,42508.8,5.23,302.03,28.28,15.56,1764.94,60,60,,,57
1994 09 27 12,42508.8,0,431.2,26.82,11.26,1340.47,57,57,,,56
1994 09 28 12,42163.22,0,446.88,28.12,10.82,1305.74,56,56,,,56
1994 09 29 12,42163.22,0,435.7,28.04,11.31,1345.07,56,56,,,49
1994 09 30 12,41817.61,0,439.71,28.7,11.17,1333.88,49,49,,,42
1994 10 01 12,41817.61,0,435.58,28.54,11,1320.23,42,42,,,37
1994 10 02 12,41817.61,0,405.92,28.81,13.16,1508.46,37,37,,,37
1994 10 03 12,41471.98,20.38,183.16,23.42,15.61,1768.47,37,37,,,77
1994 10 04 12,41471.98,20.86,247.91,20.45,9.62,1209.64,77,77,,,317
1994 10 05 12,41471.98,0,381.39,22,8.48,1118.42,317,317,,,219
1994 10 06 12,41126.39,0,404.15,24.2,8.77,1141.44,219,219,,,126
1994 10 07 12,41126.39,0,370.71,23.97,10.3,1263.65,126,126,,,89
1994 10 08 12,40783.48,0,357.26,24.1,10.99,1318.86,89,89,,,70
1994 10 09 12,40780.8,0.01,291.17,24.38,14.17,1614.92,70,70,,,61
1994 10 10 12,40780.8,16.26,234.3,26.4,14.93,1708.55,61,61,,,60
1994 10 11 12,40435.21,5.08,173.93,19.03,11.49,1358.96,60,60,,,92
1994 10 12 12,40435.21,9.37,195.09,17.42,9.02,1161.68,92,92,,,427
1994 10 13 12,40435.21,47.24,136.02,15.17,9.65,1212.1,427,427,,,2550
1994 10 14 12,40089.6,4.57,88.88,16.77,13.31,1526.3,2550,2550,,,1240
1994 10 15 12,40089.6,2.04,201.16,19.53,12.94,1474.88,1240,1240,,,536
1994 10 16 12,40083.98,0,370.95,22.58,9.04,1163.09,536,536,,,317
1994 10 17 12,39743.98,0,412.74,22.1,5,879.95,317,317,,,217
1994 10 18 12,39743.98,0,416.62,22.16,4.06,804.84,217,217,,,167
1994 10 19 12,39629.68,0,410.35,23.91,5.42,905.33,167,167,,,138
1994 10 20 12,39398.4,0.03,348.44,24.02,10.33,1266.76,138,138,,,119
1994 10 21 12,39398.4,4.51,286.57,26.41,9.47,1197.67,119,119,,,109
1994 10 22 12,39218.96,2.25,316.46,25.53,10.2,1256.33,109,109,,,132
1994 10 23 12,39052.82,3.31,209.42,24.74,14.21,1617.15,132,132,,,120
1994 10 24 12,39052.82,0,353.88,26.36,11.02,1321.77,120,120,,,108
1994 10 25 12,38807.61,0,368.8,24.27,7.77,1061.61,108,108,,,101
1994 10 26 12,38707.19,0,362.25,24.97,8.53,1122.75,101,101,,,92
1994 10 27 12,38707.19,0,368.59,20.51,4.1,808.4,92,92,,,84
1994 10 28 12,38527.77,0,358.61,16.68,1.48,678.78,84,84,,,78
1994 10 29 12,38361.6,0,346.68,17.41,2.89,751.05,78,78,,,73
1994 10 30 12,38361.6,0.49,280.84,19.57,8.3,1104.3,73,73,,,73
1994 10 31 12,38247.28,5.1,178.37,23.03,13.93,1594.72,73,73,,,80
1994 11 01 12,38016.01,15.3,189.49,23.5,13.73,1578.6,80,80,,,261
1994 11 02 12,38016.01,0,355.25,18.05,2.32,720.03,261,261,,,265
1994 11 03 12,37990.59,0,380.5,22.08,2,720,265,265,,,154
1994 11 04 12,37670.38,0,377.86,23.93,3.01,760.57,154,154,,,111
1994 11 05 12,37670.38,0,354.03,24.72,6.41,952.98,111,111,,,94
1994 11 06 12,37670.38,0,264.87,24.82,13.22,1517.57,94,94,,,86
1994 11 07 12,37360.03,1.4,312.02,24.05,8.71,1136.65,86,86,,,80
1994 11 08 12,37324.82,0,350.56,22.49,3.93,803.78,80,80,,,76
1994 11 09 12,37324.82,0,340.27,23.7,5.56,910.88,76,76,,,75
1994 11 10 12,37264.5,0,278.61,25.87,12.22,1417.96,75,75,,,72
1994 11 11 12,36979.21,11.23,227.71,21.19,6.1,928.82,72,72,,,419
1994 11 12 12,36979.21,2.66,194.69,14.02,4.18,817.71,419,419,,,261
1994 11 13 12,36979.21,0,300.5,19.27,3.93,801.25,261,261,,,149
1994 11 14 12,36799.76,0,318.03,22.62,4.64,851.45,149,149,,,111
1994 11 15 12,36633.6,0,308.86,23.64,6.09,932.13,111,111,,,94
1994 11 16 12,36633.6,0,287.11,23.46,7.77,1061.88,94,94,,,84
1994 11 17 12,36633.6,0,195.37,19.93,10.59,1287.16,84,84,,,82
1994 11 18 12,36519.29,0,180.11,19.64,11.2,1336.16,82,82,,,80
1994 11 19 12,36288,0,281.63,25.06,9.54,1203.43,80,80,,,84
1994 11 20 12,36288,0,311.41,23.99,5.51,917.67,84,84,,,88
1994 11 21 12,36288,4.59,187.07,21.67,8.8,1144.11,88,88,,,91
1994 11 22 12,36262.58,6.46,190.8,22.01,8.62,1129.26,91,91,,,102
1994 11 23 12,35977.61,0,261.7,20.01,6.28,942.44,102,102,,,117
1994 11 24 12,35942.39,0,303.22,14.28,-2.58,512.5,117,117,,,101
1994 11 25 12,35942.39,0,288.92,14.1,-1.46,553.12,101,101,,,86
1994 11 26 12,35942.39,0,229.39,13.78,2.61,729.31,86,86,,,81
1994 11 27 12,35916.96,22.21,75.67,10.18,5.79,920,81,81,,,252
1994 11 28 12,35697.22,3.06,151.52,14.91,6.65,971.8,252,252,,,855
1994 11 29 12,35596.83,10.94,155.88,16.16,6.27,950.89,855,855,,,1230
1994 11 30 12,35596.83,13.96,110.02,10.88,4.35,834.51,1230,1230,,,1500
1994 12 01 12,35596.83,0,280.08,14.77,-0.2,600,1500,1500,,,711
1994 12 02 12,35596.83,0,299.94,15.14,-2.14,520,711,711,,,374
1994 12 03 12,35591.22,0,291.41,16.72,0.21,618.51,374,374,,,276
1994 12 04 12,35482.51,1.69,188.93,19.28,10.14,1250.92,276,276,,,274
1994 12 05 12,35351.64,16.56,100.02,20.66,14.41,1640.08,274,274,,,2050
1994 12 06 12,35251.2,0,255.72,22.39,8.75,1139.88,2050,2050,,,873
1994 12 07 12,35251.2,0,269.63,22.49,7.57,1045.99,873,873,,,449
1994 12 08 12,35251.2,0,277.46,21.32,5.86,924.55,449,449,,,324
1994 12 09 12,35251.2,0,245.23,19.01,6.69,975.2,324,324,,,263
1994 12 10 12,35251.2,0,156.48,13.81,6.98,998.32,263,263,,,227
1994 12 11 12,35251.2,10.51,176.56,16.49,5.28,902.32,227,227,,,318
1994 12 12 12,35251.2,0,267.75,10.62,-2.57,514.78,318,318,,,393
1994 12 13 12,35245.58,0,213.49,7.64,-1.69,543.36,393,393,,,274
1994 12 14 12,35225.77,0.04,116.77,7.69,3.07,765.22,274,274,,,222
1994 12 15 12,35190.87,0,138.57,10.04,4.56,845,222,222,,,199
1994 12 16 12,35136.88,0,220.23,12.22,2.96,757.54,199,199,,,184
1994 12 17 12,35071.75,1.8,173.28,10.63,3.76,800.36,184,184,,,175
1994 12 18 12,35071.75,0,193.63,12.01,4.15,820.2,175,175,,,170
1994 12 19 12,35006.02,0,308.19,15,-2.12,522.04,170,170,,,162
1994 12 20 12,35006.02,0,300.18,11.92,-3.47,480,162,162,,,145
1994 12 21 12,35006.02,0,295.24,13.01,-2.03,528.56,145,145,,,137
1994 12 22 12,35006.02,29.62,124.56,11.48,5,880.38,137,137,,,2040
1994 12 23 12,35006.02,46.15,89.52,10.78,6.37,951.33,2040,2040,,,8500
1994 12 24 12,35071.75,10.26,190.99,15.17,4.2,821.1,8500,8500,,,8620
1994 12 25 12,35071.75,0,305,17.32,1.17,653.83,8620,8620,,,1940
1994 12 26 12,35136.88,0,276,15.73,3.09,766.93,1940,1940,,,787
1994 12 27 12,35190.87,0,306.79,16.35,-0.3,600,787,787,,,553
1994 12 28 12,35225.77,0,311.09,16.96,-0.77,578.4,553,553,,,432
1994 12 29 12,35245.58,0,315.43,19.43,0,600.34,432,432,,,369
1994 12 30 12,35251.2,0,271.73,16.16,2.84,746.86,369,369,,,325
1994 12 31 12,35251.2,3.57,134.52,9.47,2.45,728.62,325,325,,,289
1995 01 01 12,35251.2,1.08,142.27,9.03,2.81,744.92,289,289,,,275
1995 01 02 12,35251.2,0,255.17,14.74,1.87,706.89,275,275,,,266
1995 01 03 12,35251.2,0,265.61,10.87,-2.42,520,266,266,,,242
1995 01 04 12,35251.2,0,261.09,7.45,-5.21,422.49,242,242,,,221
1995 01 05 12,35253.89,0,302.27,9.43,-7.11,360,221,221,,,206
1995 01 06 12,35417.39,0,265.59,5.7,-7.11,360,206,206,,,200
1995 01 07 12,35571.41,33.34,212.47,13.46,-1.27,559.18,200,200,,,2710
1995 01 08 12,35596.83,0,295.16,12.15,-3.47,475.56,2710,2710,,,1530
1995 01 09 12,35596.83,0,288.66,11.29,-3.47,480,1530,1530,,,653
1995 01 10 12,35596.83,0,309.54,14.88,-2.39,520,653,653,,,448
1995 01 11 12,35596.83,0,303.98,16.29,-0.31,600,448,448,,,362
1995 01 12 12,35632.05,0,284.88,17.62,2.86,748.65,362,362,,,319
1995 01 13 12,35828.06,0,277.46,21.53,7.05,1003.6,319,319,,,292
1995 01 14 12,35942.39,19.9,183.87,21.9,9.86,1228.68,292,292,,,3350
1995 01 15 12,35942.39,45.41,138.38,19.44,11.12,1329.82,3350,3350,,,10700
1995 01 16 12,35942.39,2.88,213.36,18.45,6.36,948.52,10700,10700,,,5170
1995 01 17 12,35942.39,0,316.37,18.6,1.32,665.47,5170,5170,,,1410
1995 01 18 12,36173.67,0,311.97,18,1.52,681.62,1410,1410,,,767
1995 01 19 12,36288,0,287.5,17.44,3.44,791.74,767,767,,,572
1995 01 20 12,36288,8.24,193.47,15.15,3.53,798.1,572,572,,,675
1995 01 21 12,36288,0,227.87,9.37,-0.14,602.07,675,675,,,614
1995 01 22 12,36323.24,0,293.68,11.73,-1.79,536.96,614,614,,,429
1995 01 23 12,36608.18,3.67,220.83,11.84,-0.98,566.19,429,429,,,374
1995 01 24 12,36633.6,7.36,178.2,6.76,-2.91,488.77,374,374,,,617
1995 01 25 12,36633.6,0,328.28,10.1,-5.71,400.58,617,617,,,509
1995 01 26 12,36636.29,0,344.31,13.31,-4.37,440.53,509,509,,,378
1995 01 27 12,36953.79,0,337.98,13.16,-3.5,480,378,378,,,330
1995 01 28 12,36979.21,9.43,232.27,12.55,-1.35,559.8,330,330,,,1040
1995 01 29 12,36979.21,11.92,175.71,12.44,3.06,764.79,1040,1040,,,2260
1995 01 30 12,37014.46,2.74,163.58,6.2,-0.98,561.62,2260,2260,,,984
1995 01 31 12,37324.82,0,273.43,7.54,-3.5,479.86,984,984,,,634
1995 02 01 12,37324.82,0,334.91,12.15,-3.23,480.04,634,634,,,484
1995 02 02 12,37324.82,0,334.41,16.16,0.53,632.57,484,484,,,405
1995 02 03 12,37610.05,0,357.59,19.44,1.08,646.37,405,405,,,360
1995 02 04 12,37670.38,6.51,266.69,19.13,1.34,668.48,360,360,,,358
1995 02 05 12,37670.38,0,267.96,8.38,-2.14,525.53,358,358,,,407
1995 02 06 12,37705.62,0,352.38,7.4,-8.32,325.69,407,407,,,317
1995 02 07 12,38016.01,0,331.95,6.56,-7.27,356.33,317,317,,,279
1995 02 08 12,38016.01,1.42,316.04,7.5,-5.33,413.2,279,279,,,266
1995 02 09 12,38016.01,0,346.28,2.62,-11.54,242.73,266,266,,,250
1995 02 10 12,38361.6,3.36,329.73,7.4,-8.31,325.93,250,250,,,292
1995 02 11 12,38361.6,55.4,195.23,9.7,1.05,652.47,292,292,,,9000
1995 02 12 12,38361.6,8.96,227.45,10.08,-1.02,565.89,9000,9000,,,6000
1995 02 13 12,38707.19,0,340.92,9.66,-3.44,480,6000,6000,,,1990
1995 02 14 12,38707.19,0.3,283.23,8.21,-1.86,532.92,1990,1990,,,991
1995 02 15 12,38707.19,3.94,173.96,9.33,1.49,679.21,991,991,,,787
1995 02 16 12,39052.82,20.78,160.13,10.83,3.82,804.34,787,787,,,3370
1995 02 17 12,39052.82,20.39,267.65,21.65,7.28,1022.28,3370,3370,,,6580
1995 02 18 12,39052.82,34.2,180.01,13,5.23,896.67,6580,6580,,,9130
1995 02 19 12,39398.4,7.06,114.73,9.8,5.22,895.08,9130,9130,,,7790
1995 02 20 12,39398.4,0.62,267.98,14.48,5.86,922.86,7790,7790,,,2400
1995 02 21 12,39398.4,0,360.65,17.9,4.89,871.52,2400,2400,,,1200
1995 02 22 12,39743.98,0,430.75,14.27,-3.97,442.13,1200,1200,,,825
1995 02 23 12,39743.98,0,434.57,16.96,-2.23,521.62,825,825,,,636
1995 02 24 12,39743.98,0,416.76,21.29,3.57,793.03,636,636,,,530
1995 02 25 12,40089.6,0,443.15,17.36,-2.33,520,530,530,,,446
1995 02 26 12,40089.6,0,437.54,17.58,-1.18,560,446,446,,,384
1995 02 27 12,40124.83,0,433.26,21.87,2.95,754.32,384,384,,,348
1995 02 28 12,40435.21,6.37,229.38,21.34,10.79,1302.85,348,348,,,413
1995 03 01 12,40435.21,25.05,198.39,19.87,11.13,1330.35,413,413,,,2510
1995 03 02 12,40755.38,5.69,229.8,15.5,5.59,920,2510,2510,,,2500
1995 03 03 12,40780.8,0,271.73,14.68,6.29,943.33,2500,2500,,,1090
1995 03 04 12,40780.8,5.42,239.09,13.78,3.92,808.4,1090,1090,,,772
1995 03 05 12,41126.39,0.01,203.89,9.32,3.71,802.2,772,772,,,803
1995 03 06 12,41126.39,9.38,164.57,11.7,5.77,920.49,803,803,,,1110
1995 03 07 12,41126.39,1.13,386.46,20.31,7.79,1063.31,1110,1110,,,1260
1995 03 08 12,41471.98,0,396.75,24.21,10.79,1303.3,1260,1260,,,789
1995 03 09 12,41471.98,4.96,367.36,18.73,-2.01,525.95,789,789,,,875
1995 03 10 12,41638.14,0,455.09,12.7,-2.92,487.28,875,875,,,589
1995 03 11 12,41817.61,0,477.96,15.44,-2.5,520,589,589,,,435
1995 03 12 12,41817.61,0,498.04,20.79,-0.86,570.35,435,435,,,383
1995 03 13 12,42163.22,0,485.31,23.18,2.75,740.38,383,383,,,351
1995 03 14 12,42163.22,0,468.21,23.55,4.98,878.08,351,351,,,326
1995 03 15 12,42163.22,0,462.99,23.91,5.85,920.05,326,326,,,308
1995 03 16 12,42508.8,0,448.08,23.83,6.94,995.1,308,308,,,291
1995 03 17 12,42508.8,0,396.22,23.08,9.42,1193.35,291,291,,,280
1995 03 18 12,42544.02,0,375.22,23.5,10.74,1299.17,280,280,,,272
1995 03 19 12,42854.39,0,487.41,22.39,2.51,729.37,272,272,,,255
1995 03 20 12,42854.39,0,477.37,21.99,3,760,255,255,,,236
1995 03 21 12,43199.98,0.99,463.79,24.74,6.06,928.09,236,236,,,223
1995 03 22 12,43199.98,0,472.86,25.84,6.06,931.47,223,223,,,215
1995 03 23 12,43199.98,0,425.47,29.31,12.27,1422.01,215,215,,,205
1995 03 24 12,43545.6,0,476.87,29.94,9.03,1162.63,205,205,,,195
1995 03 25 12,43545.6,0,476.61,23.27,4.06,805.07,195,195,,,184
1995 03 26 12,43855.98,0,491.84,23.66,3.23,778.23,184,184,,,175
1995 03 27 12,43891.2,0,449.72,25.08,7.79,1063.38,175,175,,,169
1995 03 28 12,43891.2,0.27,417.27,24.33,9.08,1166.73,169,169,,,168
1995 03 29 12,44236.83,0,442.01,24.16,7.9,1071.87,168,168,,,168
1995 03 30 12,44236.83,0,395.93,21.97,8.38,1110.13,168,168,,,162
1995 03 31 12,44236.83,0,399.22,21.9,8.13,1090.62,162,162,,,156
1995 04 01 12,44582.39,0,423.9,18.36,3.74,800.66,156,156,,,152
1995 04 02 12,44582.39,0,462.55,20.52,3.43,790.99,152,152,,,150
1995 04 03 12,44761.86,0,496.19,22.55,2.66,732.97,150,150,,,142
1995 04 04 12,44927.99,0,485.93,24.84,5.08,884.48,142,142,,,136
1995 04 05 12,44927.99,0,455.62,24.08,6.32,945.84,136,136,,,133
1995 04 06 12,45273.6,1.18,420.4,22.03,6.5,960.82,133,133,,,131
1995 04 07 12,45273.6,2.09,394.14,19.6,5.05,883.72,131,131,,,131
1995 04 08 12,45273.6,0,496.75,27.47,6.47,957.73,131,131,,,131
1995 04 09 12,45619.18,0,479.94,28.47,8.54,1122.83,131,131,,,127
1995 04 10 12,45619.18,0,476.75,30.11,10.09,1247.15,127,127,,,118
1995 04 11 12,45644.6,0,458.25,31,12.15,1412.35,118,118,,,113
1995 04 12 12,45964.79,0,254.18,23.82,15.19,1732.05,113,113,,,107
1995 04 13 12,45964.79,4.35,281.99,24.3,11.2,1335.75,107,107,,,110
1995 04 14 12,46275.18,0,500.97,25.06,5.22,897.95,110,110,,,111
1995 04 15 12,46310.4,0,499.87,24.96,5.24,897.86,111,111,,,106
1995 04 16 12,46310.4,0,502.45,26.41,6.16,932.72,106,106,,,96
1995 04 17 12,46656,0,504.97,30.09,8.72,1137.96,96,96,,,92
1995 04 18 12,46656,0,432.06,30.15,13.47,1555.01,92,92,,,88
1995 04 19 12,46656,0,416.56,30.83,14.93,1700.01,88,88,,,83
1995 04 20 12,47001.61,4.17,306.73,30.78,15.5,1760,83,83,,,84
1995 04 21 12,47001.61,0,390.16,30.2,15.89,1791.43,84,84,,,82
1995 04 22 12,47001.61,3.05,311.03,26.87,14,1600.03,82,82,,,81
1995 04 23 12,47347.21,9.22,253.94,25.96,14.63,1663.45,81,81,,,85
1995 04 24 12,47347.21,9.41,294.23,21.46,8.71,1136.47,85,85,,,99
1995 04 25 12,47347.21,0,490.36,19.21,2.26,720,99,99,,,204
1995 04 26 12,47692.81,0,524.47,23.17,3.47,794.78,204,204,,,130
1995 04 27 12,47692.81,0,511.56,25.08,5.92,921.27,130,130,,,98
1995 04 28 12,47692.81,0,454.86,25.35,9.45,1195.84,98,98,,,85
1995 04 29 12,48038.4,0,500.84,27.66,8.68,1134.47,85,85,,,78
1995 04 30 12,48038.4,0,482.93,28.24,10.2,1256.3,78,78,,,74
1995 05 01 12,48038.4,0,443.47,28.96,12.88,1470.32,74,74,,,69
1995 05 02 12,48383.99,11.43,317.3,27.89,13.03,1491.37,69,69,,,70
1995 05 03 12,48383.99,0,481.55,21.83,5.1,887.96,70,70,,,76
1995 05 04 12,48383.99,0,481.64,23.03,6.23,938.06,76,76,,,79
1995 05 05 12,48694.35,1.04,455.6,25.54,9.76,1220.83,79,79,,,69
1995 05 06 12,48729.61,0,508.57,26.77,7.81,1064.76,69,69,,,62
1995 05 07 12,48729.61,0,499.28,26.84,8.36,1108.74,62,62,,,58
1995 05 08 12,48789.93,0,492.35,28.91,10.53,1282.68,58,58,,,52
1995 05 09 12,49075.19,0,476.82,30.25,12.59,1447.83,52,52,,,48
1995 05 10 12,49075.19,0,334.45,28.59,17.55,2007.33,48,48,,,47
